O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
6600097,611881,O,230622.64,3/7/1998,4-NOT SPECIFIED,Clerk#000004422,0,s boost furiously along the ironic foxes. blithely ironic p
6600098,1351825,F,43216.24,12/1/1993,1-URGENT,Clerk#000004699,0,e packages play ruthlessly accordin
6600099,1119511,F,306710.87,10/24/1994,5-LOW,Clerk#000005419,0,final courts are blithely. deposits affix dogged
6600100,1114255,F,201701.44,7/20/1993,1-URGENT,Clerk#000001594,0,s the ironic theodolite
6600101,1265882,F,126066.00,8/5/1992,5-LOW,Clerk#000001700,0,ccording to the dogged deposits. furiously pending accounts haggle furiously. 
6600102,1170232,O,93316.36,7/19/1995,1-URGENT,Clerk#000006215,0,usual decoys. pending theodolites cajole fluffily. furiously even reques
6600103,76960,F,101933.06,6/12/1993,5-LOW,Clerk#000007687,0,y carefully express pac
6600128,442259,O,58159.65,3/8/1998,3-MEDIUM,Clerk#000004690,0,essly slyly regular requests. blithely unusual deposits use blithe
6600129,545219,O,58109.51,7/3/1995,3-MEDIUM,Clerk#000002258,0,y above the ideas. foxes use thinly across the b
6600130,1493957,F,68526.38,1/8/1992,5-LOW,Clerk#000002294,0,"ts. final, regular requests would cajole furiously. re"
6600131,421022,F,243414.41,10/27/1994,5-LOW,Clerk#000009521,0,g theodolites cajole furiously 
6600132,603121,O,111940.92,6/24/1998,1-URGENT,Clerk#000009244,0,special requests run carefully. carefully express multipliers subl
6600133,1142069,F,157718.14,6/24/1993,4-NOT SPECIFIED,Clerk#000001395,0,ely above the pending packages. slyly final accounts 
6600134,749557,O,213677.42,8/30/1997,5-LOW,Clerk#000004294,0,out the fluffily silent asymptotes. ironic accounts affix according to the 
6600135,797456,F,163669.24,12/4/1993,1-URGENT,Clerk#000007740,0,arefully ironic excuses wake after the blithely final ideas. fin
6600160,331424,F,266666.51,6/7/1992,2-HIGH,Clerk#000002955,0,ly regular packages sleep slyly requests. closely regula
6600161,727120,O,207631.04,12/3/1996,2-HIGH,Clerk#000000529,0, busily idle depths integrate carefully according to the furiously final i
6600162,176966,F,213639.37,4/26/1994,5-LOW,Clerk#000001708,0,"ng packages detect slyly even, unusual theodolites. blit"
6600163,1256492,F,144556.69,4/29/1992,1-URGENT,Clerk#000006494,0,e excuses integrate spec
6600164,844468,P,339304.97,4/29/1995,5-LOW,Clerk#000000701,0,jole permanently express dependencies. 
6600165,1458118,O,129882.78,11/23/1997,3-MEDIUM,Clerk#000004448,0,gainst the regular requests. furiously final instructions wake abo
6600166,1086617,O,168348.97,12/31/1995,2-HIGH,Clerk#000009498,0,sts sublate blithely above the even instructions.
6600167,267166,F,46508.65,6/28/1992,5-LOW,Clerk#000006954,0, about the even requests. blithely permanent requests sleep carefully. s
6600192,726562,O,260902.59,12/15/1997,3-MEDIUM,Clerk#000005739,0, haggle blithely. carefully express requests sublate fluffily. blithe
6600193,1303366,F,229479.48,1/27/1992,3-MEDIUM,Clerk#000002864,0,pecial forges sublate quickly a
6600194,1171090,F,204663.54,8/29/1993,5-LOW,Clerk#000002456,0,g to the packages integrate 
6600195,1005904,O,37865.01,5/1/1996,2-HIGH,Clerk#000001332,0,onic dolphins are carefully acc
6600196,1217689,F,88816.47,2/20/1992,2-HIGH,Clerk#000003277,0, requests along the bold asymptote
6600197,1196588,O,316154.93,5/25/1998,3-MEDIUM,Clerk#000001402,0,ges wake quickly even requests. blithely
6600198,553975,F,11079.84,9/8/1992,3-MEDIUM,Clerk#000004148,0,", permanent instruct"
6600199,148466,O,254614.53,8/24/1995,2-HIGH,Clerk#000008743,0,ns are packages. unusual dolphins wake blithely pinto bea
6600224,765730,F,105676.53,6/1/1992,2-HIGH,Clerk#000000415,0,final braids haggle furiously 
6600225,1101950,F,199886.29,4/11/1994,5-LOW,Clerk#000003236,0,carefully express deposits thrash about t
6600226,1465246,F,2304.94,1/18/1992,2-HIGH,Clerk#000004509,0,ke furiously outside the even deposits. packages
6600227,888742,O,291278.57,9/25/1997,2-HIGH,Clerk#000009663,0,e final accounts. quickly pending theodolites wake deposits. unusual req
6600228,64553,O,143125.77,6/27/1997,3-MEDIUM,Clerk#000002424,0,ockey players. furiously e
6600229,429247,F,9757.59,9/6/1992,5-LOW,Clerk#000005511,0,deposits. quickly regular accounts haggle furiously. bold requests ca
6600230,821834,O,122049.51,2/25/1997,4-NOT SPECIFIED,Clerk#000001449,0, carefully express ideas. quickly silent ideas nag unusual pearls. qui
6600231,559475,O,257823.30,12/8/1996,5-LOW,Clerk#000003309,0,ccording to the blithely special accounts. ideas nag 
6600256,1093744,F,177680.46,11/23/1993,4-NOT SPECIFIED,Clerk#000000389,0,counts. blithely special deposits acros
6600257,39259,O,116907.94,11/12/1996,1-URGENT,Clerk#000000380,0,as. pending requests affix quickly special instructions. f
6600258,1313456,F,147647.54,3/19/1992,3-MEDIUM,Clerk#000004076,0,ress asymptotes. carefully silent 
6600259,1248430,O,11520.30,10/9/1997,3-MEDIUM,Clerk#000008979,0,"ar, regular pinto beans. fluffily special asymptotes sleep carefully after th"
6600260,349003,O,77058.50,5/2/1998,3-MEDIUM,Clerk#000005291,0, final instructions s
6600261,666400,O,101774.93,10/10/1995,4-NOT SPECIFIED,Clerk#000005460,0,onic sauternes use caref
6600262,1159132,O,191819.71,3/25/1998,3-MEDIUM,Clerk#000002527,0,gular accounts. thinly ironic theodolit
6600263,1007965,O,50423.81,10/28/1997,4-NOT SPECIFIED,Clerk#000008843,0,"ns nag slyly final, express requests. ironic pinto b"
6600288,1366924,F,55427.10,7/24/1992,5-LOW,Clerk#000001525,0,ously pending instructions
6600289,1382612,F,304393.10,6/6/1993,5-LOW,Clerk#000005930,0,yly ironic foxes nag slyly across the silent patterns. final asymptotes 
6600290,1049623,F,126391.09,6/25/1993,2-HIGH,Clerk#000008897,0,ously final warthogs. fluffily pending pearls use carefully about
6600291,1005148,F,109069.47,11/30/1993,5-LOW,Clerk#000003848,0,t fluffily against the blithely even instructions. instructions cajo
6600292,521809,F,51680.92,10/18/1992,2-HIGH,Clerk#000006623,0,furiously special reques
6600293,1017427,O,62775.37,7/18/1997,2-HIGH,Clerk#000009295,0,g accounts-- carefully regular packages along the caref
6600294,1389547,P,101046.61,3/5/1995,3-MEDIUM,Clerk#000009672,0,", final accounts are slyly against the ideas. pending pac"
6600295,615011,F,57449.67,12/16/1994,1-URGENT,Clerk#000005879,0,ckages at the quickly final theodolites sleep carefully regular theodoli
6600320,1482571,O,73110.51,3/18/1996,3-MEDIUM,Clerk#000001646,0,ges. quickly unusual sentiments sleep after the 
6600321,1042603,F,209992.07,10/21/1994,1-URGENT,Clerk#000001908,0,pecial theodolites. 
6600322,18136,O,73386.28,6/15/1998,5-LOW,Clerk#000002387,0,ular platelets sleep according to the iron
6600323,297091,F,246358.21,8/23/1992,4-NOT SPECIFIED,Clerk#000008754,0,nts. carefully regular accounts 
6600324,1190080,O,231954.61,1/4/1996,2-HIGH,Clerk#000007592,0,lithely regular sentiments. f
6600325,656302,O,318181.70,11/23/1995,3-MEDIUM,Clerk#000003861,0,"s was slyly? furiously bold packages cajole blithely regular, ironic pac"
6600326,936245,F,239448.01,4/4/1994,1-URGENT,Clerk#000000296,0,lar ideas boost furiously carefully final asymptotes. ironic requests are iron
6600327,456622,F,32517.66,7/24/1992,4-NOT SPECIFIED,Clerk#000000881,0, are according to the carefully silent ideas. daringly express dependencie
6600352,426037,F,226295.78,9/15/1992,1-URGENT,Clerk#000006866,0,"egular, even accounts run after the regular deposits. f"
6600353,903566,F,259786.84,2/19/1992,2-HIGH,Clerk#000008151,0,carefully idle platelets. ruthlessly regular excuses ha
6600354,223318,O,200680.01,2/4/1996,2-HIGH,Clerk#000002252,0,quests haggle accounts. regular reque
6600355,302704,F,225279.64,5/7/1992,4-NOT SPECIFIED,Clerk#000001594,0,blithely regular accounts affix quickly even attainments. carefully f
6600356,1016197,O,52443.37,6/19/1998,3-MEDIUM,Clerk#000003055,0,"ainst the slyly silent warhorses use express, f"
6600357,222616,O,236241.17,5/23/1997,3-MEDIUM,Clerk#000009352,0,kages. slyly final ideas within the dogged packages do breach blithely benea
6600358,474386,O,114897.77,3/28/1998,5-LOW,Clerk#000005637,0,nts. fluffily express deposits boost blithely regular r
6600359,498160,F,157368.73,10/13/1992,1-URGENT,Clerk#000000787,0,"ets. idle, regular accounts "
6600384,1041560,F,38161.37,2/11/1993,5-LOW,Clerk#000000250,0,ironic foxes. unusual instructions above the fluffily unusual deposits 
6600385,496030,O,19212.91,1/22/1996,3-MEDIUM,Clerk#000000698,0,gular requests. quickly express theodolites sleep slyly. even theodolites
6600386,1262417,O,252589.92,5/28/1997,3-MEDIUM,Clerk#000004356,0,"quickly. even, pending ideas cajole "
6600387,1436456,F,50401.11,2/6/1993,5-LOW,Clerk#000001092,0, ideas. pinto beans detect furiously regular theodolite
6600388,15193,F,93225.67,2/26/1994,5-LOW,Clerk#000007982,0,es are. slyly ironic foxes sleep after the theodolites. un
6600389,342928,F,224070.32,9/4/1994,1-URGENT,Clerk#000007675,0,ecial requests sleep furiously. furiously reg
6600390,587515,F,74557.42,1/12/1995,2-HIGH,Clerk#000003454,0,"lly along the bold, even"
6600391,1351804,F,37124.07,2/20/1995,4-NOT SPECIFIED,Clerk#000009511,0, ideas need to sleep excuses. carefully pend
6600416,737882,F,205517.60,4/22/1992,3-MEDIUM,Clerk#000005559,0,ests cajole carefully even
6600417,1068629,O,115757.14,2/24/1998,1-URGENT,Clerk#000007177,0, express packages. furiously even instructions could have to haggle across t
6600418,939161,O,137402.91,12/9/1997,5-LOW,Clerk#000002307,0, pinto beans. carefully silent accounts boost flu
6600419,1472500,F,262565.02,10/15/1992,2-HIGH,Clerk#000007696,0, final deposits nag blithel
6600420,1280929,O,12029.92,7/13/1995,5-LOW,Clerk#000000541,0,ld requests against the unusual accounts play carefully pending packages
6600421,554416,F,137519.04,9/21/1994,4-NOT SPECIFIED,Clerk#000002285,0,its. slyly final pinto beans affix above the fluffily special requests. iron
6600422,55645,F,311508.68,12/2/1993,4-NOT SPECIFIED,Clerk#000007706,0,horses. regular deposits above the carefully final waters was fu
6600423,692633,O,39930.19,2/6/1997,5-LOW,Clerk#000008136,0, the furiously express pinto beans. blithely ironic foxes
6600448,1069681,O,71028.59,1/23/1998,5-LOW,Clerk#000002210,0,cajole furiously even 
6600449,608129,O,220797.06,5/28/1997,1-URGENT,Clerk#000003416,0,pending requests use slyl
6600450,1313767,F,56652.69,7/10/1992,1-URGENT,Clerk#000000858,0,nal deposits lose slyly across the ironic dolphins: package
6600451,468422,O,64799.62,12/30/1996,5-LOW,Clerk#000009748,0, packages. regular accounts sleep ironi
6600452,765250,F,113681.64,6/9/1992,3-MEDIUM,Clerk#000008276,0,"nic accounts play slyly across the quiet, bold requests. ironic, express"
6600453,526171,F,439392.53,6/12/1993,2-HIGH,Clerk#000001327,0,ular pinto beans. slyly even requests x-ray carefully against the s
6600454,830872,O,103699.69,2/13/1996,5-LOW,Clerk#000000624,0,"l, regular instructions. final theodolites wake carefully among the c"
6600455,936139,O,79667.34,7/19/1996,2-HIGH,Clerk#000003405,0, silent packages cajole quickly final attainments. deposits are
6600480,170225,F,118153.96,1/9/1993,2-HIGH,Clerk#000005204,0,gular dolphins use. quickly even excuses haggle slyly carefully regu
6600481,465512,O,164929.13,5/16/1997,4-NOT SPECIFIED,Clerk#000001637,0,. blithely ironic accounts serve among the excuses. b
6600482,1344157,F,224265.51,3/20/1992,1-URGENT,Clerk#000003509,0,ct carefully slyly ir
6600483,1225432,O,84207.76,3/9/1996,5-LOW,Clerk#000001771,0,"yly according to the final, regular foxes. carefully f"
6600484,816079,F,217466.32,7/1/1992,5-LOW,Clerk#000003998,0, requests. slyly regular accounts above the unusua
6600485,1315561,F,3521.15,8/5/1992,1-URGENT,Clerk#000008981,0,the accounts snooze re
6600486,624307,F,81793.86,6/17/1992,3-MEDIUM,Clerk#000001166,0,the quickly unusual asymptotes. carefully regular packages wake slyly.
6600487,226735,O,27193.21,8/31/1996,1-URGENT,Clerk#000007581,0,c accounts. quickly f
6600512,715990,F,150776.89,11/19/1992,4-NOT SPECIFIED,Clerk#000009095,0,poach about the pinto beans. reg
6600513,616637,O,51151.68,6/5/1995,2-HIGH,Clerk#000001424,0,into beans wake slyly. furiously final requests wake fluffily. furiously s
6600514,304585,F,297833.26,3/24/1992,3-MEDIUM,Clerk#000007281,0," x-ray slyly. carefully final foxes are slyly unusual, even request"
6600515,1157536,F,160509.89,7/31/1992,1-URGENT,Clerk#000006375,0, wake slyly. accounts cajole d
6600516,1187828,O,78042.55,11/23/1997,3-MEDIUM,Clerk#000005302,0, fluffily ironic asymptotes cajole furiously furiously re
6600517,309964,F,243397.88,1/10/1993,1-URGENT,Clerk#000001458,0,g slyly. deposits among the slyly pending pa
6600518,37615,O,262791.78,11/29/1997,2-HIGH,Clerk#000003039,0,lar foxes haggle blithely ironic acco
6600519,664435,O,191137.82,2/14/1998,2-HIGH,Clerk#000000020,0,ep inside the quickly final 
6600544,1155865,F,6713.05,5/23/1994,5-LOW,Clerk#000003340,0,as haggle slyly around t
6600545,99935,O,51508.82,11/1/1996,2-HIGH,Clerk#000003004,0," nag fluffily final, regular accounts. furiously final asymptotes against"
6600546,1104389,F,52816.04,5/8/1992,2-HIGH,Clerk#000008767,0,ual packages. furiously ironic accou
6600547,464500,O,19812.22,9/24/1996,5-LOW,Clerk#000005968,0,y. fluffily even instructions
6600548,837628,O,41763.51,4/5/1997,4-NOT SPECIFIED,Clerk#000003572,0,s instructions sleep furiously about the packa
6600549,505628,F,160471.95,6/12/1993,2-HIGH,Clerk#000005579,0,furiously. asymptotes detect
6600550,574265,O,216745.84,7/27/1995,4-NOT SPECIFIED,Clerk#000009119,0,lowly regular instructions. fluffily final pinto beans sleep slyly. special re
6600551,669194,O,84293.20,4/10/1998,1-URGENT,Clerk#000001346,0,after the furiously pending requests 
6600576,138290,F,36801.82,10/9/1992,2-HIGH,Clerk#000007795,0,"r packages against the even pains haggle requests. even,"
6600577,731947,F,238529.10,6/1/1994,4-NOT SPECIFIED,Clerk#000007008,0,"luffily except the pending, ironic asymptotes. theodolites cajole special r"
6600578,299936,F,168569.50,3/11/1995,5-LOW,Clerk#000008300,0,ickly bold asymptotes cajole blithely above the
6600579,1021906,O,153606.09,12/21/1996,3-MEDIUM,Clerk#000004984,0,"t ideas. requests cajole quickly. pending, express pinto beans mai"
6600580,159223,F,211535.46,8/17/1994,5-LOW,Clerk#000004616,0,"hely pending asymptotes haggle. ironic, regular excuses"
6600581,57901,F,109783.88,12/8/1993,5-LOW,Clerk#000001529,0,#NAME?
6600582,1110488,O,94998.26,9/5/1997,4-NOT SPECIFIED,Clerk#000002080,0,regular warthogs sl
6600583,960619,F,94821.02,9/29/1992,1-URGENT,Clerk#000002368,0,"n, sly instructions wake among th"
6600608,621749,F,200847.11,1/4/1995,4-NOT SPECIFIED,Clerk#000000741,0,inal requests must have to affix
6600609,728846,F,156620.14,10/2/1993,1-URGENT,Clerk#000000301,0,kly carefully even platelets. deposits sleep ca
6600610,699068,O,46417.90,7/14/1995,2-HIGH,Clerk#000007222,0, ideas. slyly regular deposits sleep blithely special requests. 
6600611,1233223,F,254644.13,12/30/1992,1-URGENT,Clerk#000007228,0,ndencies wake regula
6600612,1258076,O,163307.28,2/10/1998,1-URGENT,Clerk#000006701,0,"instructions. regular instructions are despite the pending foxes. bold, unusua"
6600613,475223,O,251477.64,9/2/1997,4-NOT SPECIFIED,Clerk#000007820,0,owly around the slyly pending deposits. qui
6600614,1063682,O,74996.37,11/1/1996,5-LOW,Clerk#000008386,0,s cajole blithely si
6600615,294029,F,155932.24,11/10/1994,3-MEDIUM,Clerk#000008836,0,furiously final packages haggle fu
6600640,736460,O,204751.90,6/9/1997,2-HIGH,Clerk#000007123,0,"blithely pearls. final, pending "
6600641,1174235,F,208086.45,1/9/1993,5-LOW,Clerk#000002533,0,t the quickly unusual deposits. express foxes doze 
6600642,1350848,O,43306.50,6/14/1995,2-HIGH,Clerk#000008512,0,cial requests boost-- even packages wake carefully final sheaves. sp
6600643,1198505,F,111468.35,12/5/1992,2-HIGH,Clerk#000004512,0,s. fluffily special asymptotes haggle! slyly unusual i
6600644,1262533,F,87443.31,10/3/1994,5-LOW,Clerk#000008848,0,ously ironic deposits maintain furiously 
6600645,380644,F,148117.76,12/10/1994,2-HIGH,Clerk#000002668,0,lyly ironic deposits. silent accounts along the slyly ironic deposits u
6600646,1474835,O,219284.60,12/31/1995,3-MEDIUM,Clerk#000004677,0,es? blithe requests engage slyly unusual theodolites. ideas sleep against the 
6600647,39041,O,122682.53,10/19/1997,3-MEDIUM,Clerk#000005065,0,carefully bold requests sleep regular theodolites. th
6600672,660037,O,139411.99,5/24/1996,1-URGENT,Clerk#000009037,0,al accounts are. pend
6600673,725084,O,67148.29,7/9/1995,1-URGENT,Clerk#000003347,0,"azzle. boldly regular requests nag regular, regular foxe"
6600674,484153,O,297887.65,1/17/1996,4-NOT SPECIFIED,Clerk#000008660,0,e slyly ironic deposits. quickly express foxes are blithely along the
6600675,1156966,O,44325.40,2/26/1997,2-HIGH,Clerk#000006054,0, slyly daring pinto beans. slyly regular i
6600676,617803,F,66360.03,10/9/1992,5-LOW,Clerk#000002294,0,ar dependencies. even reques
6600677,389155,O,207496.49,7/9/1997,5-LOW,Clerk#000002213,0,fully final instructions. furiously unusual accounts could s
6600678,516673,O,40120.05,3/30/1997,4-NOT SPECIFIED,Clerk#000005311,0,venly special accounts. blithely special deposits a
6600679,222995,O,52787.39,7/3/1996,5-LOW,Clerk#000004477,0,cies. regular requests use furiously 
6600704,873712,F,45169.92,6/11/1993,3-MEDIUM,Clerk#000003042,0, regular excuses af
6600705,949087,O,194301.27,5/18/1997,4-NOT SPECIFIED,Clerk#000003710,0,. carefully unusual requests inte
6600706,300517,O,156399.21,1/20/1997,3-MEDIUM,Clerk#000002298,0,fluffily against the bold 
6600707,280198,F,292253.70,9/9/1992,5-LOW,Clerk#000008855,0,ounts use quickly. blithely 
6600708,787294,O,190453.21,12/22/1996,5-LOW,Clerk#000007469,0, silent deposits could have to use
6600709,542668,O,279708.59,8/19/1995,5-LOW,Clerk#000009132,0,quests boost furiously slyly ironic accounts. 
6600710,610177,F,327572.42,3/7/1993,1-URGENT,Clerk#000006434,0,dependencies. blithely regular deposi
6600711,1225052,F,18739.96,5/19/1993,2-HIGH,Clerk#000008703,0,es wake furiously about the packages. special foxes detect blithely-- 
6600736,445304,O,326330.94,12/20/1996,2-HIGH,Clerk#000002907,0,pinto beans sleep fluffily along the ruthless pa
6600737,714484,F,258866.28,1/22/1994,1-URGENT,Clerk#000006585,0,lly final platelets integrate. 
6600738,813566,O,220209.78,12/20/1997,3-MEDIUM,Clerk#000001265,0, furiously daring instructions cajole careful
6600739,1098247,O,132605.89,9/22/1996,2-HIGH,Clerk#000008785,0,"refully. carefully regular packages boost special, express t"
6600740,725995,O,304573.73,9/23/1996,2-HIGH,Clerk#000002525,0,e slyly final ideas. carefully final accounts above the quickly s
6600741,773537,F,140914.59,1/16/1992,2-HIGH,Clerk#000001903,0,ly pending pinto beans sleep blithely after the blithely bold deposits. 
6600742,328363,O,120981.55,3/9/1998,4-NOT SPECIFIED,Clerk#000004480,0,ckages detect. carefully silent e
6600743,273898,O,144669.08,7/25/1998,2-HIGH,Clerk#000006365,0,counts sleep special packages
6600768,1403327,F,99277.20,3/27/1993,1-URGENT,Clerk#000004861,0,inal packages haggle furio
6600769,1206967,F,252089.50,10/4/1993,4-NOT SPECIFIED,Clerk#000007815,0,es wake furiously. 
6600770,977509,O,178803.14,4/6/1998,4-NOT SPECIFIED,Clerk#000001453,0,"onic sheaves above the regular, unusual foxes use quic"
6600771,965743,F,83174.41,8/19/1992,2-HIGH,Clerk#000009177,0,y. carefully ironic instructions during the quickly fin
6600772,1230614,F,83868.38,7/19/1992,1-URGENT,Clerk#000004997,0,ongside of the express 
6600773,917956,F,102518.78,8/1/1992,3-MEDIUM,Clerk#000003636,0, boost furiously outside the quickly even foxes.
6600774,585001,O,47164.08,6/6/1996,3-MEDIUM,Clerk#000000524,0,es. quickly regular courts d
6600775,1091323,O,232803.36,10/30/1997,3-MEDIUM,Clerk#000005937,0,"ests wake enticingly. carefully unusual foxes wake carefully ironic, exp"
6600800,1342898,O,79276.61,10/25/1996,1-URGENT,Clerk#000002305,0,encies haggle carefully regular pack
6600801,1074277,F,253221.09,2/6/1993,1-URGENT,Clerk#000000630,0,"s. pending hockey players boost slyly regular, ironic ideas"
6600802,1366732,F,196029.99,6/11/1992,4-NOT SPECIFIED,Clerk#000007576,0, asymptotes. carefully even deposits eat-- quickly special dependencies
6600803,1152064,F,278110.00,3/2/1993,1-URGENT,Clerk#000005479,0,ctions. blithely special foxes mold furiously across the courts. quickly
6600804,710278,F,96689.39,2/10/1992,2-HIGH,Clerk#000000681,0,posits! furiously unu
6600805,629266,O,160688.96,5/2/1998,2-HIGH,Clerk#000002500,0, theodolites cajole at
6600806,1066978,F,187793.10,3/27/1992,1-URGENT,Clerk#000001504,0,ial accounts. quickly regular accounts sleep carefully along the f
6600807,189086,O,43610.05,1/8/1997,4-NOT SPECIFIED,Clerk#000000113,0,are fluffily: blithely regular packages print abov
6600832,964013,O,85505.51,4/6/1997,5-LOW,Clerk#000007559,0,kages hinder furiously regular excuses. furiously unusual somas hag
6600833,655942,F,119956.60,11/3/1992,3-MEDIUM,Clerk#000001969,0,olites. final courts haggle blithely carefully sp
6600834,901903,O,64679.28,10/22/1995,4-NOT SPECIFIED,Clerk#000002721,0,"ns. even, bold packages cajole slyly. bl"
6600835,770443,O,15629.49,6/19/1996,5-LOW,Clerk#000005488,0,eposits run quickly. blithely quick requests after the blithely even theo
6600836,821281,F,175342.05,9/17/1994,3-MEDIUM,Clerk#000004686,0,luffily unusual packages affix bli
6600837,268300,O,142165.86,9/8/1995,4-NOT SPECIFIED,Clerk#000001526,0,ts use blithely among th
6600838,298558,F,224378.28,1/31/1995,3-MEDIUM,Clerk#000001689,0,le blithely packages. fluf
6600839,358147,F,251445.87,10/27/1994,4-NOT SPECIFIED,Clerk#000007333,0,ing to the pending pinto beans. blithely regular idea
6600864,1346891,F,136159.19,7/13/1993,3-MEDIUM,Clerk#000003393,0,ackages. furiously even packages cajole slyly aro
6600865,696562,F,17328.35,10/19/1992,5-LOW,Clerk#000008288,0,"ns. blithely special accounts across the even, ironic depths boost qui"
6600866,1104484,F,83029.88,3/10/1995,5-LOW,Clerk#000005388,0,r theodolites must are. carefully ironic 
6600867,538681,F,113102.67,12/10/1992,2-HIGH,Clerk#000002459,0,nic attainments? slyly even accounts hagg
6600868,1085260,O,73426.91,3/9/1997,4-NOT SPECIFIED,Clerk#000006329,0, carefully fluffily unusual excuses: quickly special pinto
6600869,1448923,O,63557.87,9/4/1997,4-NOT SPECIFIED,Clerk#000004006,0,its hang blithely after the unusual accounts. bold account
6600870,1044500,F,288704.35,4/17/1992,4-NOT SPECIFIED,Clerk#000003529,0,ily even deposits. special
6600871,405793,O,26910.19,8/13/1995,5-LOW,Clerk#000008043,0,ccounts. furiously express dinos impress. caref
6600896,1151110,O,124593.05,10/28/1995,1-URGENT,Clerk#000000042,0,e slyly stealthy accounts are furiously furiously regular dolphins. s
6600897,1191962,O,236019.18,3/5/1996,1-URGENT,Clerk#000009981,0,packages above the instructions wake around the blithely ironic asy
6600898,791359,P,120519.05,5/22/1995,1-URGENT,Clerk#000000611,0,"s. slyly final accounts sublate about the special, ironic decoys: packages"
6600899,1342384,O,210967.90,1/18/1998,4-NOT SPECIFIED,Clerk#000005735,0,lets. instructions must have to kindle furiously after the brave
6600900,1418927,F,141664.08,11/12/1992,1-URGENT,Clerk#000002833,0,riously according to the express accounts. f
6600901,898762,O,123366.13,7/24/1995,1-URGENT,Clerk#000007066,0,ording to the regular accounts sleep fluffily even packages. quic
6600902,480733,F,173612.94,3/10/1993,4-NOT SPECIFIED,Clerk#000004685,0,"ckly regular accounts hinder carefully about the ironic, expres"
6600903,668407,O,352087.85,7/10/1996,1-URGENT,Clerk#000003551,0,"ests haggle furiously. final, even deposits according to the bold, unusual id"
6600928,386917,O,100668.13,9/20/1997,3-MEDIUM,Clerk#000008851,0,asymptotes cajole across the final pinto beans! slyly even deposits ab
6600929,395195,F,166689.12,10/7/1993,4-NOT SPECIFIED,Clerk#000008590,0,as wake quickly express packages. blithely iro
6600930,36556,F,173418.00,1/4/1994,4-NOT SPECIFIED,Clerk#000001635,0,en deposits cajole carefully ac
